PDB_IDs	Ligand_Codes	Predictions	Labels
3fur	Z12	6.320	8.00
3fv1	DYH	8.241	9.30
3fv2	NDZ	7.657	8.11
3g0w	LGB	8.462	9.52
3g2n	OAK	4.211	4.09
3g2z	GZ2	2.697	2.36
3g31	GF1	3.287	2.89
3gbb	MS8	7.238	6.90
3gc5	2MQ	6.767	7.26
3ge7	AFQ	7.076	8.70
3gr2	GF4	2.625	2.52
3gv9	GV9	3.367	2.12
3gy4	PBZ	3.450	5.10
3ivg	FG5	6.254	4.30
3jvr	AGX	5.505	5.72
3jvs	AGY	6.826	6.54
3jya	LWG	6.606	6.89
3k5v	STJ	6.827	6.30
3kgp	4AZ	3.215	2.57
3kr8	XAV	6.518	8.10
3kwa	SPM	4.980	4.08
3l7b	DKZ	3.680	2.40
3lka	M4S	6.916	2.82
3mss	MS7	4.579	4.66
3myg	EML	7.808	10.70
3n76	CA2	5.450	6.85
3n7a	FA1	4.695	3.70
3n86	RJP	5.792	5.64
3nq9	OCA	5.142	4.03
3nw9	637	7.279	9.00
3nx7	NHK	8.374	8.10
3o9i	A61	11.534	11.82
3oe4	610	6.410	7.47
3oe5	611	6.203	6.88
3ozs	OZS	6.160	5.33
3ozt	OZZ	5.753	4.13
3p5o	EAM	6.798	7.26
3prs	RIT	5.638	7.82
3pww	ROC	5.346	7.32
3pxf	2AN	4.894	4.43
3pyy	3YY	6.838	6.86
3qgy	L7O	7.644	7.80
3qqs	17C	4.435	5.82
3r88	14F	4.129	4.82
3rlr	3RR	7.288	7.52
3rr4	HRD	5.876	4.55
3rsx	RSV	5.197	4.41
3ryj	RYJ	7.472	7.80
3syr	GPK	4.312	5.10
3tsk	QEG	8.193	7.17
3twp	SAL	4.080	3.92
3u5j	08H	5.796	5.61
3u8k	09P	6.814	8.66
3u8n	09S	7.306	10.17
3u9q	DKA	4.694	4.38
3udh	091	3.331	2.85
3ueu	DAO	5.707	5.24
3uev	MYR	5.963	5.89
3uew	PLM	6.198	6.31
3uex	STE	6.402	6.92
3ui7	C1L	6.729	9.00
3uo4	0C0	7.111	6.52
3up2	0C8	7.198	7.40
3utu	1TS	8.398	10.92
3uuo	0CV	6.254	7.96
3wtj	TH4	7.815	6.53
3wz8	IXV	5.346	5.82
3zdg	XRX	6.040	7.10
3zso	O2N	4.273	5.12
3zsx	N44	3.981	3.28
3zt2	ZT2	3.196	2.84
4abg	91B	3.408	3.57
4agn	NXG	3.676	3.97
4agp	P51	3.933	4.69
4agq	P96	3.927	5.01
4bkt	QD0	3.281	3.62
4cig	X0P	3.014	3.67
4ciw	XH2	5.237	4.82
4cr9	OTW	4.334	4.10
4cra	XJ8	7.622	7.22
4crc	OTM	7.913	8.72
4ddh	MS0	3.005	3.30
4ddk	0HN	2.704	2.29
4de1	0J6	4.199	5.96
4de2	DN3	3.970	4.12
4de3	DN8	4.010	5.52
4djv	0KM	6.592	6.72
4dld	TZG	7.182	5.82
4dli	IRG	6.014	5.62
4e5w	0NT	8.342	7.66
4e6q	0NV	7.400	8.36
4ea2	RWZ	5.978	6.44
4eky	D1J	3.850	3.52
4eor	4SP	6.010	6.30
4f09	JAK	6.683	6.70
4f9w	LM4	6.858	6.94
4gfm	0X2	6.239	7.22
4gid	0GH	7.489	10.77
4gkm	683	5.008	5.17
4gr0	R4B	8.965	9.55
4hge	15V	7.835	7.92
4ivb	1J5	8.141	8.72
4ivc	1J6	8.478	10.00
4ivd	15T	8.530	9.52
4j21	AJ6	7.159	7.41
4j28	EAT	5.744	5.70
4j3l	AJ5	7.348	7.80
4jfs	16Z	5.932	5.27
4jia	1K3	7.483	9.22
4jsz	FB2	5.588	2.30
4jxs	18U	4.037	4.74
4k18	1OB	7.656	8.96
4k77	1Q4	7.194	6.63
4kz6	ZB6	3.836	3.10
4kzq	DFL	5.504	6.10
4kzu	A73	6.480	6.50
4llx	5ZE	3.403	2.89
4lzs	L46	4.607	4.80
4m0y	M0Y	6.174	6.46
4m0z	M0Z	6.494	5.19
4mgd	27N	5.807	4.69
4mme	29Q	4.498	6.50
4ogj	2TA	7.064	6.79
4owm	3F0	4.551	2.96
4pcs	2M7	5.855	7.85
4qac	KK3	7.557	9.40
4qd6	30T	7.522	8.64
4rfm	3P6	7.771	10.05
4tmn	0PK	6.659	10.17
4twp	AXI	7.868	10.00
4ty7	39F	8.092	9.52
4u4s	3C1	5.323	2.92
4w9c	3JG	4.171	4.65
4wiv	3P2	6.461	6.26
4x6p	3YU	8.068	8.30
5a7b	KMN	3.947	3.57
5aba	UL7	4.732	2.98
5dwr	5H7	8.511	11.22
5tmn	0PJ	6.350	8.04
